,,p4,2,38,3,2,5,1,2,5,4
p8,1,40,3,2,1,5,2,0,9
p7,2,18,5,2,3,1,1,2,8
p3,1,25,7,2,2,0,2,7,2
p7,1,39,2,0,1,8,5,5,1
p7,1,8,1,0,6,4,7,4,0
p4,2,52,10,0,0,1,2,1,8
p3,2,5,2,0,6,3,8,3,0
p4,1,47,8,1,1,1,8,1,2
p7,1,34,4,0,7,0,8,2,1
p3,1,54,4,0,6,1,3,4,4
p3,1,16,2,0,1,8,2,9,0
p4,2,6,8,1,0,2,3,2,6
p8,1,44,1,1,2,7,6,5,0
p8,2,11,0,0,9,2,2,4,5
p8,1,25,0,1,2,8,5,6,0
p8,2,26,8,0,1,2,0,2,9
p8,2,25,2,0,8,1,2,2,7
p3,2,20,2,1,1,7,1,3,7
p7,1,53,0,0,1,10,6,5,0
p7,2,22,10,0,1,0,1,3,7
p4,1,8,4,0,1,6,1,4,6
p3,2,17,6,0,3,2,4,4,3
p7,2,26,1,3,6,1,2,9,0
p4,1,13,9,1,0,1,1,2,8
p8,2,33,2,0,8,1,2,2,7
p3,1,28,5,2,1,3,1,4,6
p4,1,40,4,1,3,3,2,5,4
p7,1,15,1,3,5,2,4,7,0
p3,2,2,6,1,1,3,2,2,7
p7,1,3,3,0,8,0,1,10,0
p4,1,7,7,1,0,3,3,1,7
p3,2,30,2,1,6,2,2,0,9
p7,1,14,3,1,6,1,7,4,0
p8,1,14,0,0,3,8,3,6,2
p3,1,35,1,1,8,1,4,7,0
p4,2,42,0,1,9,1,5,6,0
p3,1,80,0,4,5,2,7,2,2
p8,1,36,0,0,2,9,1,1,9
p8,1,49,3,4,4,0,2,3,6
p8,1,59,2,1,8,0,1,8,2
p8,1,33,8,0,2,1,1,3,7
p3,1,68,2,0,2,7,6,5,0
p3,2,31,4,2,3,2,4,7,0
p7,1,30,4,1,5,1,2,9,0
p8,2,14,4,0,2,5,2,1,8
p4,1,27,7,3,0,1,4,6,1
p8,2,32,4,1,1,5,1,2,8
p4,1,50,2,0,8,1,3,8,0
p8,2,27,1,1,4,5,3,7,1
p3,1,67,8,0,2,1,5,3,3
p8,2,10,1,2,4,4,1,0,10
p7,1,49,0,0,1,10,4,6,1
p3,1,7,7,1,1,2,3,5,3
p8,1,30,1,0,1,9,1,5,5
p7,2,36,1,2,6,2,2,6,3
p4,2,24,9,0,2,0,1,2,8
p4,2,22,9,0,1,1,0,2,9
p3,1,36,10,0,0,1,1,7,3
p7,2,21,10,0,1,0,1,4,6
p3,1,89,6,4,0,1,1,2,8
p7,2,20,1,2,8,0,4,5,2
p3,1,5,6,1,2,2,2,7,2
p3,1,8,0,0,3,8,5,6,0
p4,2,61,1,0,5,5,5,6,0
p7,2,17,1,0,8,2,3,6,2
p8,1,4,2,1,5,3,1,8,2
p4,1,36,8,1,1,1,3,2,6
p8,1,6,1,0,0,10,3,8,0
p3,1,13,4,1,3,3,9,2,0
p8,1,28,1,0,0,10,2,9,0
p8,2,28,5,0,1,5,2,6,3
p4,2,35,0,3,6,2,6,5,0
p4,1,31,4,0,4,3,2,3,6
p8,1,32,0,1,2,8,5,6,0
p7,2,8,1,0,1,9,2,9,0
p7,2,37,8,0,1,2,6,2,3
p8,1,48,1,0,0,10,2,6,3
p4,1,43,2,1,6,2,6,5,0
p7,2,19,2,1,7,1,3,8,0
p3,1,2,3,7,1,0,3,8,0
p7,1,47,2,1,0,8,0,7,4
p3,2,27,1,1,8,1,6,5,0
p4,1,51,7,1,2,1,9,2,0
p7,2,32,3,4,3,1,1,2,8
p3,2,22,9,1,1,0,1,2,8
p7,2,35,3,0,8,0,2,7,2
p8,2,12,3,1,1,6,1,6,4
p3,2,35,1,0,7,3,6,5,0
p7,2,31,3,1,5,2,4,6,1
p4,1,24,6,0,4,1,6,4,1
